day,site,waterLevel
2017-09-30,BB Wetland Well Shallow,0.07271071049623037
2017-09-30,DB Wetland Well Shallow,0.3681621978651067
2017-09-30,DF Wetland Well Shallow,0.41140837366691146
2017-09-30,DK Upland Well 1,-0.07485044689307047
2017-09-30,DK Wetland Well Shallow,-0.1494729881210043
2017-09-30,GR Wetland Well Shallow,-0.05173569275
2017-09-30,ND Upland Well 1,0.2227797592251236
2017-09-30,ND Wetland Well Shallow,0.33308584901788424
2017-09-30,QB Upland Well 1,0.4241524773792846
2017-09-30,TB Upland Well 2,0.19540848292682467
2017-09-30,TB Upland Well 3,0.3025884333469905
2017-09-30,TB Wetland Well Shallow,0.3135653005477563
2017-10-01,BB Wetland Well Shallow,0.061779677204851745
2017-10-01,DB Wetland Well Shallow,0.3590643726237154
2017-10-01,DF Wetland Well Shallow,0.4055711739394091
2017-10-01,DK Upland Well 1,-0.0832311179761158
2017-10-01,DK Wetland Well Shallow,-0.16410739726517337
2017-10-01,GR Wetland Well Shallow,-0.07996612966666666
2017-10-01,ND Upland Well 1,0.21102445226707858
2017-10-01,ND Wetland Well Shallow,0.3221712934570487
2017-10-01,QB Upland Well 1,0.41268167872122674
2017-10-01,TB Upland Well 2,0.18388421978265568
2017-10-01,TB Upland Well 3,0.29299880564726577
2017-10-01,TB Wetland Well Shallow,0.30517136536192035
2017-10-02,BB Wetland Well Shallow,0.045054075296391626
2017-10-02,DB Wetland Well Shallow,0.3442913759870345
2017-10-02,DF Wetland Well Shallow,0.3953568213999507
2017-10-02,DK Upland Well 1,-0.0979034711762426
2017-10-02,DK Wetland Well Shallow,-0.17998190394352084
2017-10-02,GR Wetland Well Shallow,-0.13214517254166666
2017-10-02,ND Upland Well 1,0.19776696056695164
2017-10-02,ND Wetland Well Shallow,0.31015508151481236
2017-10-02,QB Upland Well 1,0.3914773646956572
2017-10-02,TB Upland Well 2,0.16920186492375272
2017-10-02,TB Upland Well 3,0.27629683867725147
2017-10-02,TB Wetland Well Shallow,0.2891902837807951
2017-10-03,BB Wetland Well Shallow,0.023877781144063148
2017-10-03,DB Wetland Well Shallow,0.325479583652715
2017-10-03,DF Wetland Well Shallow,0.3860677267739644
2017-10-03,DK Upland Well 1,-0.11875579178690435
2017-10-03,DK Wetland Well Shallow,-0.1965768674861737
2017-10-03,GR Wetland Well Shallow,-0.18033035316666665
2017-10-03,ND Upland Well 1,0.17806076274795665
2017-10-03,ND Wetland Well Shallow,0.2973596371804928
2017-10-03,QB Upland Well 1,0.36906610238911525
2017-10-03,TB Upland Well 2,0.1500430845338775
2017-10-03,TB Upland Well 3,0.2512916636207098
2017-10-03,TB Wetland Well Shallow,0.27144247012703104
2017-10-04,BB Wetland Well Shallow,0.002187388678513052
2017-10-04,DB Wetland Well Shallow,0.3017053842583744
2017-10-04,DF Wetland Well Shallow,0.3786125880740681
2017-10-04,DK Upland Well 1,-0.12398832833578775
2017-10-04,DK Wetland Well Shallow,-0.21705822104718103
2017-10-04,GR Wetland Well Shallow,-0.21585598225
2017-10-04,ND Upland Well 1,0.16656013482407303
2017-10-04,ND Wetland Well Shallow,0.27841388280004103
2017-10-04,QB Upland Well 1,0.3490432687586634
2017-10-04,TB Upland Well 2,0.13718342983398132
2017-10-04,TB Upland Well 3,0.23724835476803582
2017-10-04,TB Wetland Well Shallow,0.2540475399132459
2017-10-05,BB Wetland Well Shallow,-0.021052563020785713
2017-10-05,DB Wetland Well Shallow,0.2830096658429603
2017-10-05,DF Wetland Well Shallow,0.36917153679754305
2017-10-05,DK Upland Well 1,-0.13334627932675325
2017-10-05,DK Wetland Well Shallow,-0.22725662686537282
2017-10-05,GR Wetland Well Shallow,-0.24994943029166666
2017-10-05,ND Upland Well 1,0.16083387412477448
2017-10-05,ND Wetland Well Shallow,0.2656555548985159
2017-10-05,QB Upland Well 1,0.33256083844047163
2017-10-05,TB Upland Well 2,0.12457310296023395
2017-10-05,TB Upland Well 3,0.22212413483873286
2017-10-05,TB Wetland Well Shallow,0.23685909512283196
2017-10-06,BB Wetland Well Shallow,-0.048627148836544294
2017-10-06,DB Wetland Well Shallow,0.2664159081588633
2017-10-06,DF Wetland Well Shallow,0.3595345355578904
2017-10-06,DK Upland Well 1,-0.15032255753211943
2017-10-06,DK Wetland Well Shallow,-0.21890768716917394
2017-10-06,GR Wetland Well Shallow,-0.2865707164583333
2017-10-06,ND Upland Well 1,0.14507104497568254
2017-10-06,ND Wetland Well Shallow,0.25483242101997433
2017-10-06,QB Upland Well 1,0.3151190844369302
2017-10-06,TB Upland Well 2,0.10919734416502587
2017-10-06,TB Upland Well 3,0.198355868001858
2017-10-06,TB Wetland Well Shallow,0.22060170341095714
2017-10-07,BB Wetland Well Shallow,-0.08285926715866454
2017-10-07,DB Wetland Well Shallow,0.24752731460931107
2017-10-07,DF Wetland Well Shallow,0.3501003043138937
2017-10-07,DK Upland Well 1,-0.15823990279796546
2017-10-07,DK Wetland Well Shallow,-0.08845183476568882
2017-10-07,GR Wetland Well Shallow,-0.32333193095833335
2017-10-07,ND Upland Well 1,0.12611666911189556
2017-10-07,ND Wetland Well Shallow,0.2412254813731997
2017-10-07,QB Upland Well 1,0.2955520938318224
2017-10-07,TB Upland Well 2,0.09123747476825135
2017-10-07,TB Upland Well 3,0.1760494421050836
2017-10-07,TB Wetland Well Shallow,0.2025692497780716
2017-10-08,BB Wetland Well Shallow,-0.11102181573193852
2017-10-08,DB Wetland Well Shallow,0.2291345381266983
2017-10-08,DF Wetland Well Shallow,0.34152764387294765
2017-10-08,DK Upland Well 1,-0.1741403183712393
2017-10-08,DK Wetland Well Shallow,-0.10441215416496825
2017-10-08,GR Wetland Well Shallow,-0.35802216666666664
2017-10-08,ND Upland Well 1,0.11287177437195484
2017-10-08,ND Wetland Well Shallow,0.2277627678350316
2017-10-08,QB Upland Well 1,0.2786315380992093
2017-10-08,TB Upland Well 2,0.07714876645230534
2017-10-08,TB Upland Well 3,0.1592230688446931
2017-10-08,TB Wetland Well Shallow,0.1849720673371255
2017-10-09,BB Wetland Well Shallow,-0.09672571750239772
2017-10-09,DB Wetland Well Shallow,0.2232087325037284
2017-10-09,DF Wetland Well Shallow,0.3395617509166445
2017-10-09,DK Upland Well 1,-0.19247526014169855
2017-10-09,DK Wetland Well Shallow,-0.07719705978793813
2017-10-09,GR Wetland Well Shallow,-0.313685654
2017-10-09,ND Upland Well 1,0.10359428305982911
2017-10-09,ND Wetland Well Shallow,0.22170843500372836
2017-10-09,QB Upland Well 1,0.28785990469846184
2017-10-09,TB Upland Well 2,0.06910739589877989
2017-10-09,TB Upland Well 3,0.15417181474950095
2017-10-09,TB Wetland Well Shallow,0.17744763817248885
2017-10-10,BB Wetland Well Shallow,-0.06550906669783549
2017-10-10,DB Wetland Well Shallow,0.22482655346336014
2017-10-10,DF Wetland Well Shallow,0.34755777884849853
2017-10-10,DK Upland Well 1,-0.21105706042046965
2017-10-10,DK Wetland Well Shallow,-0.04995877382830632
2017-10-10,GR Wetland Well Shallow,-0.2269688695
2017-10-10,ND Upland Well 1,0.09373852423939119
2017-10-10,ND Wetland Well Shallow,0.2223748713661379
2017-10-10,QB Upland Well 1,0.3027061141719826
2017-10-10,TB Upland Well 2,0.07571299312230047
2017-10-10,TB Upland Well 3,0.16887604237579948
2017-10-10,TB Wetland Well Shallow,0.17895003249323185
2017-10-11,BB Wetland Well Shallow,-0.09847544173455386
2017-10-11,DB Wetland Well Shallow,0.2048074604193823
2017-10-11,DF Wetland Well Shallow,0.34003308836007595
2017-10-11,DK Upland Well 1,-0.22261143987385473
2017-10-11,DK Wetland Well Shallow,-0.06621871158061769
2017-10-11,GR Wetland Well Shallow,-0.28521277158333336
2017-10-11,ND Upland Well 1,0.08132375603600614
2017-10-11,ND Wetland Well Shallow,0.20761300143327102
2017-10-11,QB Upland Well 1,0.2817151005030045
2017-10-11,TB Upland Well 2,0.06184514853665584
2017-10-11,TB Upland Well 3,0.1505784349707102
2017-10-11,TB Wetland Well Shallow,0.16417506199092044
2017-10-12,BB Wetland Well Shallow,-0.05241111202083137
2017-10-12,DB Wetland Well Shallow,0.21722248780514136
2017-10-12,DF Wetland Well Shallow,0.34189861664861293
2017-10-12,DK Upland Well 1,-0.23446508174346553
2017-10-12,DK Wetland Well Shallow,-0.036257418805969686
2017-10-12,GR Wetland Well Shallow,-0.14683693841666667
2017-10-12,ND Upland Well 1,0.07857323958306217
2017-10-12,ND Wetland Well Shallow,0.21254441704125257
2017-10-12,QB Upland Well 1,0.2951594077637634
2017-10-12,TB Upland Well 2,0.06902136442241501
2017-10-12,TB Upland Well 3,0.16585646788424718
